Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	17	26.5625	5.085305384224231E-10	15488, 12583, 56357, 16922, 117167, 67834, 13382, 11364, 11363, 12039, 16828, 11370, 56615, 18597, 15483, 13063, 23917	62	677	18128	7.342068899795111	3.869916744836388E-7	3.869916744836388E-7	7.754698438944274E-7
GOTERM_BP_DIRECT	GO:0008152~metabolic process	14	21.875	3.768947315592886E-9	14936, 56357, 20916, 11364, 11363, 21881, 12039, 11370, 110095, 20280, 18597, 14874, 18563, 68738	62	465	18128	8.803052375997225	2.868164761138381E-6	1.434083408913267E-6	5.747353581941894E-6
GOTERM_BP_DIRECT	GO:0033539~fatty acid beta-oxidation using acyl-CoA dehydrogenase	4	6.25	3.3806231889367505E-5	11370, 56357, 11364, 11363	62	19	18128	61.555178268251275	0.025398858512384548	0.00853899303431116	0.0515394800833513
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	6	9.375	1.7854373751225632E-4	11370, 15488, 12491, 14600, 11364, 11363	62	156	18128	11.245657568238213	0.12705603788403008	0.033400443895061915	0.27191935791689437
GOTERM_BP_DIRECT	GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation	5	7.8125	3.4400402606821683E-4	22339, 12491, 18186, 16412, 14600	62	99	18128	14.767025089605735	0.23035976613698572	0.05101892291082677	0.5232958544797328
GOTERM_BP_DIRECT	GO:0055088~lipid homeostasis	4	6.25	3.5281226883522343E-4	11370, 56357, 11364, 11363	62	41	18128	28.52557041699449	0.23550325479133893	0.04376946713704155	0.5366612154184103
GOTERM_BP_DIRECT	GO:0009409~response to cold	4	6.25	3.790438947457711E-4	11370, 11364, 11363, 23917	62	42	18128	27.846390168970817	0.2506185048245818	0.04037749707022531	0.5764543517345233
GOTERM_BP_DIRECT	GO:0007568~aging	6	9.375	3.831162519712717E-4	74142, 227753, 20280, 276770, 21859, 13382	62	184	18128	9.534361851332397	0.25293817364654236	0.03579458057652696	0.5826307461726854
GOTERM_BP_DIRECT	GO:0006635~fatty acid beta-oxidation	4	6.25	4.352005697947515E-4	11370, 15488, 11364, 19299	62	44	18128	26.580645161290324	0.28198133974101014	0.03613750604618571	0.6615935058382982
GOTERM_BP_DIRECT	GO:0002042~cell migration involved in sprouting angiogenesis	3	4.6875	0.0012965766606133134	22339, 18186, 16412	62	16	18128	54.82258064516129	0.6274317568776133	0.09401588435444586	1.9590191148543878
GOTERM_BP_DIRECT	GO:0042493~response to drug	7	10.9375	0.001476777915845151	16828, 56615, 16412, 16527, 11364, 14683, 19299	62	369	18128	5.5466386921933735	0.6752366884160798	0.09718867878373283	2.2284321313463473
GOTERM_BP_DIRECT	GO:0006103~2-oxoglutarate metabolic process	3	4.6875	0.0016459924812729785	67834, 13382, 14600	62	18	18128	48.73118279569893	0.7145339856958584	0.0991976006429034	2.480789355018753
GOTERM_BP_DIRECT	GO:0006810~transport	15	23.4375	0.0024268725573171907	53379, 19317, 13167, 22227, 20411, 117167, 16527, 19299, 20168, 20280, 18708, 276770, 12491, 18674, 11946	62	1819	18128	2.411108549539804	0.8426204198058977	0.13258525839799917	3.637485454593292
GOTERM_BP_DIRECT	GO:0048010~vascular endothelial growth factor receptor signaling pathway	3	4.6875	0.0031789429272807996	18708, 22339, 18186	62	25	18128	35.086451612903225	0.9113473138948408	0.15892420330239976	4.739376182445298
GOTERM_BP_DIRECT	GO:0051384~response to glucocorticoid	4	6.25	0.0036803465637851337	12583, 18708, 14600, 11364	62	92	18128	12.712482468443197	0.9395482812145758	0.17060659655705723	5.467450734468637
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	3	4.6875	0.004265159373689048	18597, 67834, 20916	62	29	18128	30.246941045606228	0.9613314212156583	0.18396292940807712	6.310071439404464
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	7	10.9375	0.004414467581008441	11370, 15488, 18563, 15483, 11946, 11364, 11363	62	460	18128	4.449368863955119	0.9655017515823947	0.179671006379289	6.524072953574334
GOTERM_BP_DIRECT	GO:1902336~positive regulation of retinal ganglion cell axon guidance	2	3.125	0.006718782614598488	22339, 18186	62	2	18128	292.38709677419354	0.9940849033545235	0.2479960834089724	9.769437883492749
GOTERM_BP_DIRECT	GO:0090259~regulation of retinal ganglion cell axon guidance	2	3.125	0.006718782614598488	22339, 18186	62	2	18128	292.38709677419354	0.9940849033545235	0.2479960834089724	9.769437883492749
GOTERM_BP_DIRECT	GO:0038190~VEGF-activated neuropilin signaling pathway	2	3.125	0.006718782614598488	22339, 18186	62	2	18128	292.38709677419354	0.9940849033545235	0.2479960834089724	9.769437883492749
GOTERM_BP_DIRECT	GO:0031623~receptor internalization	3	4.6875	0.008002091012893855	233489, 12491, 16412	62	40	18128	21.929032258064517	0.9977885055203694	0.2751525353396549	11.530874879242637
GOTERM_BP_DIRECT	GO:0019254~carnitine metabolic process, CoA-linked	2	3.125	0.01006150325145939	11364, 11363	62	3	18128	194.92473118279568	0.999545168617166	0.3193990967264453	14.290562682756713
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	7	10.9375	0.01220115392393552	74143, 20168, 227753, 83945, 276770, 14311, 13063	62	571	18128	3.584430258177504	0.9999123525007901	0.35908989288582704	17.072426046213216
GOTERM_BP_DIRECT	GO:0008286~insulin receptor signaling pathway	3	4.6875	0.013257038651558221	18708, 27273, 20411	62	52	18128	16.86848635235732	0.9999611606207502	0.36975069364127267	18.413925163853573
GOTERM_BP_DIRECT	GO:0038084~vascular endothelial growth factor signaling pathway	2	3.125	0.013393158330199856	22339, 18186	62	4	18128	146.19354838709677	0.9999650314657281	0.35990144802849666	18.585381680731572
GOTERM_BP_DIRECT	GO:0006086~acetyl-CoA biosynthetic process from pyruvate	2	3.125	0.016713783873621855	18597, 13382	62	5	18128	116.95483870967743	0.9999973119158743	0.4140056180838225	22.665211081219283
GOTERM_BP_DIRECT	GO:0051591~response to cAMP	3	4.6875	0.016851214796070043	12583, 16828, 18708	62	59	18128	14.867140513942045	0.9999975831654884	0.4038852381917615	22.82987364341539
GOTERM_BP_DIRECT	GO:0060978~angiogenesis involved in coronary vascular morphogenesis	2	3.125	0.020023415787001505	22339, 18186	62	6	18128	97.46236559139784	0.9999997933922071	0.4467896997946378	26.540801808569615
