Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008152~metabolic process	28	8.974358974358974	4.5797794486277424E-9	14936, 71147, 19309, 23984, 52665, 319582, 18642, 319945, 21881, 11370, 67452, 12039, 20280, 18597, 15586, 20597, 14420, 56357, 26458, 11364, 20916, 11363, 69487, 110095, 223722, 68738, 18563, 109685	283	465	18128	3.8571678255252855	7.254344343898822E-6	7.254344343898822E-6	7.659616052535512E-6
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	32	10.256410256410255	8.053129016508205E-8	15488, 97820, 66377, 16922, 70503, 56295, 109731, 109754, 11370, 12972, 12039, 18597, 13371, 12850, 13063, 18105, 12583, 112407, 56357, 67834, 69656, 108841, 67096, 13382, 11364, 11363, 16828, 50493, 15369, 68197, 23917, 13076	283	677	18128	3.0277831422144046	1.2755343316939172E-4	6.377875044916159E-5	1.346873582219743E-4
GOTERM_BP_DIRECT	GO:0006635~fatty acid beta-oxidation	7	2.2435897435897436	5.772262711203144E-5	11370, 15488, 12895, 26458, 19302, 11364, 19299	283	44	18128	10.190812720848056	0.08737962125410337	0.030018642528589545	0.09649647576078779
GOTERM_BP_DIRECT	GO:0032981~mitochondrial respiratory chain complex I assembly	5	1.6025641025641024	2.2817620053274735E-4	68493, 69487, 67105, 66826, 68197	283	20	18128	16.014134275618378	0.30335013687966006	0.08640515784755098	0.38093759710675634
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	19	6.089743589743589	3.3341043826193626E-4	15488, 14420, 71147, 238055, 77116, 26458, 11364, 11363, 109754, 11370, 67452, 12895, 77582, 223722, 18563, 20501, 11946, 18618, 96979	283	460	18128	2.64581348901521	0.4103405985754788	0.10025333525587643	0.5561648652738449
GOTERM_BP_DIRECT	GO:0005980~glycogen catabolic process	4	1.282051282051282	4.121870985534055E-4	110095, 19309, 18642, 77559	283	10	18128	25.6226148409894	0.4795382915403369	0.10312593876882603	0.6871474766424579
GOTERM_BP_DIRECT	GO:0009409~response to cold	6	1.9230769230769231	4.669531548516849E-4	11370, 19017, 13371, 11364, 11363, 23917	283	42	18128	9.15093387178193	0.5228033185049857	0.10029604272342107	0.7781118543943477
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	10	3.205128205128205	7.644369264111749E-4	11370, 67452, 15488, 12895, 71147, 223722, 26458, 11364, 11363, 96979	283	156	18128	4.106188275799584	0.7021993998853112	0.1405102613266298	1.270854432509816
GOTERM_BP_DIRECT	GO:0038084~vascular endothelial growth factor signaling pathway	3	0.9615384615384616	0.0014172458404911271	17300, 22339, 18186	283	4	18128	48.042402826855124	0.8942322594624509	0.22089713213606288	2.3440939543776684
GOTERM_BP_DIRECT	GO:0007005~mitochondrion organization	7	2.2435897435897436	0.0016431894035092403	74143, 74142, 19017, 83945, 12034, 74006, 170826	283	81	18128	5.5357501199668455	0.9260933757635026	0.22933020739693333	2.712990378076996
