Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008152~metabolic process	14	22.22222222222222	1.942737529213925E-9	14936, 26458, 18642, 20916, 11364, 11363, 21881, 12039, 67452, 11370, 110095, 18597, 68738, 20597	59	465	18128	9.25066520867505	1.1112452487083146E-6	1.1112452487083146E-6	2.8505061755446093E-6
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	16	25.396825396825395	2.197933618189283E-9	12583, 66377, 97820, 16922, 67834, 13382, 109731, 11364, 11363, 16828, 12039, 11370, 18597, 13063, 68197, 23917	59	677	18128	7.261547705480309	1.2572172376490443E-6	6.286088164442205E-7	3.2249458548072596E-6
GOTERM_BP_DIRECT	GO:0005978~glycogen biosynthetic process	4	6.349206349206349	2.047285763589159E-5	14936, 27357, 11364, 77559	59	17	18128	72.2951146560319	0.011642292311184077	0.0038959226056294316	0.030034855555960416
GOTERM_BP_DIRECT	GO:0042760~very long-chain fatty acid catabolic process	3	4.761904761904762	2.0910824667833531E-4	11370, 26458, 19299	59	7	18128	131.68038740920096	0.1127446206740007	0.029462858026551908	0.30637850458936633
GOTERM_BP_DIRECT	GO:0009409~response to cold	4	6.349206349206349	3.265456263479118E-4	11370, 11364, 11363, 23917	59	42	18128	29.262308313155774	0.17040247188082336	0.036673538861402344	0.47806008571761316
GOTERM_BP_DIRECT	GO:0006635~fatty acid beta-oxidation	4	6.349206349206349	3.750168005611205E-4	11370, 26458, 11364, 19299	59	44	18128	27.932203389830512	0.19309540727828955	0.03512653158682555	0.5488396893389313
GOTERM_BP_DIRECT	GO:0005980~glycogen catabolic process	3	4.761904761904762	4.453296606754594E-4	110095, 18642, 77559	59	10	18128	92.17627118644069	0.2249171110344902	0.03574346079074464	0.651430050079882
GOTERM_BP_DIRECT	GO:0042493~response to drug	7	11.11111111111111	0.0011328060123786084	16828, 16527, 20597, 109731, 11364, 14683, 19299	59	369	18128	5.828671168067613	0.47708289463696785	0.07784461635762396	1.6493134990817504
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	5	7.936507936507936	0.0015602758289884806	11370, 67452, 26458, 11364, 11363	59	156	18128	9.847892220773575	0.5906459113319177	0.09447612870172317	2.2650754041866006
GOTERM_BP_DIRECT	GO:0033539~fatty acid beta-oxidation using acyl-CoA dehydrogenase	3	4.761904761904762	0.0016612213281789836	11370, 11364, 11363	59	19	18128	48.513826940231944	0.6136488996739218	0.09071879268176819	2.409960130871769
GOTERM_BP_DIRECT	GO:0007005~mitochondrion organization	4	6.349206349206349	0.0022218286410741273	74143, 74142, 83945, 12034	59	81	18128	15.17304875496966	0.7198135271120585	0.10922519659279106	3.2109513116247657
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	7	11.11111111111111	0.0034289188026593053	11370, 67452, 26458, 20501, 11946, 11364, 11363	59	460	18128	4.675607958732498	0.8598037289681959	0.1510253840255109	4.9148803553500375
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	3	4.761904761904762	0.0038640726498890467	18597, 67834, 20916	59	29	18128	31.78492109877265	0.8907952666154713	0.15662917340812	5.522258302025785
GOTERM_BP_DIRECT	GO:0090259~regulation of retinal ganglion cell axon guidance	2	3.1746031746031744	0.006388880191932353	22339, 18186	59	2	18128	307.2542372881356	0.974425597223869	0.23038801637989959	8.975582085225275
GOTERM_BP_DIRECT	GO:0038190~VEGF-activated neuropilin signaling pathway	2	3.1746031746031744	0.006388880191932353	22339, 18186	59	2	18128	307.2542372881356	0.974425597223869	0.23038801637989959	8.975582085225275
GOTERM_BP_DIRECT	GO:0097089~methyl-branched fatty acid metabolic process	2	3.1746031746031744	0.006388880191932353	16922, 26458	59	2	18128	307.2542372881356	0.974425597223869	0.23038801637989959	8.975582085225275
GOTERM_BP_DIRECT	GO:1902336~positive regulation of retinal ganglion cell axon guidance	2	3.1746031746031744	0.006388880191932353	22339, 18186	59	2	18128	307.2542372881356	0.974425597223869	0.23038801637989959	8.975582085225275
GOTERM_BP_DIRECT	GO:0005977~glycogen metabolic process	3	4.761904761904762	0.006568565802836338	14936, 110095, 77559	59	38	18128	24.256913470115972	0.9769390303369573	0.22221689656476273	9.216809019545757
GOTERM_BP_DIRECT	GO:0021762~substantia nigra development	3	4.761904761904762	0.007258273802733254	16828, 29811, 109731	59	40	18128	23.04406779661017	0.9844993470222511	0.22927956409721284	10.13721739811374
GOTERM_BP_DIRECT	GO:0055088~lipid homeostasis	3	4.761904761904762	0.007614907858727462	11370, 11364, 11363	59	41	18128	22.482017362546507	0.9873790380632014	0.22678627164651377	10.60972412213842
GOTERM_BP_DIRECT	GO:0046034~ATP metabolic process	3	4.761904761904762	0.007979325971110873	56248, 11958, 11946	59	42	18128	21.94673123486683	0.9897705188955701	0.22475975280788407	11.090151708663075
GOTERM_BP_DIRECT	GO:0042593~glucose homeostasis	4	6.349206349206349	0.009246981132640643	110095, 27273, 18642, 20501	59	135	18128	9.103829252981795	0.995077210423208	0.24397277430854136	12.742677116886247
GOTERM_BP_DIRECT	GO:0019254~carnitine metabolic process, CoA-linked	2	3.1746031746031744	0.00956826036133347	11364, 11363	59	3	18128	204.83615819209038	0.9959107631514987	0.24040497213792578	13.15692898136136
GOTERM_BP_DIRECT	GO:0038084~vascular endothelial growth factor signaling pathway	2	3.1746031746031744	0.012737641928488341	22339, 18186	59	4	18128	153.6271186440678	0.9993462148772135	0.29473221094673896	17.146414572821755
GOTERM_BP_DIRECT	GO:0015992~proton transport	3	4.761904761904762	0.014827202715275234	22227, 11958, 11946	59	58	18128	15.892460549386325	0.9998054194618644	0.3218547876659684	19.68252673859354
GOTERM_BP_DIRECT	GO:0001561~fatty acid alpha-oxidation	2	3.1746031746031744	0.015897055786300643	16922, 26458	59	5	18128	122.90169491525425	0.9998954837544478	0.3286932179079798	20.95283254314958
GOTERM_BP_DIRECT	GO:0006086~acetyl-CoA biosynthetic process from pyruvate	2	3.1746031746031744	0.015897055786300643	18597, 13382	59	5	18128	122.90169491525425	0.9998954837544478	0.3286932179079798	20.95283254314958
GOTERM_BP_DIRECT	GO:0060978~angiogenesis involved in coronary vascular morphogenesis	2	3.1746031746031744	0.019046532736373287	22339, 18186	59	6	18128	102.41807909604519	0.9999832933812985	0.3676555807772599	24.58457398598204
GOTERM_BP_DIRECT	GO:0043462~regulation of ATPase activity	2	3.1746031746031744	0.019046532736373287	22003, 21957	59	6	18128	102.41807909604519	0.9999832933812985	0.3676555807772599	24.58457398598204
GOTERM_BP_DIRECT	GO:0048842~positive regulation of axon extension involved in axon guidance	2	3.1746031746031744	0.02218610348559106	22339, 18186	59	7	18128	87.78692493946731	0.9999973297660741	0.4015030075050504	28.049645811231784
GOTERM_BP_DIRECT	GO:0010044~response to aluminum ion	2	3.1746031746031744	0.02218610348559106	74142, 109731	59	7	18128	87.78692493946731	0.9999973297660741	0.4015030075050504	28.049645811231784
GOTERM_BP_DIRECT	GO:0046322~negative regulation of fatty acid oxidation	2	3.1746031746031744	0.02218610348559106	11370, 11363	59	7	18128	87.78692493946731	0.9999973297660741	0.4015030075050504	28.049645811231784
GOTERM_BP_DIRECT	GO:0051289~protein homotetramerization	3	4.761904761904762	0.023452325216511964	18642, 11364, 11363	59	74	18128	12.456252863032525	0.9999987275124029	0.40672519387606987	29.404690754745488
GOTERM_BP_DIRECT	GO:0071679~commissural neuron axon guidance	2	3.1746031746031744	0.025315798646058922	22339, 18186	59	8	18128	76.8135593220339	0.9999995732573576	0.4191282925581974	31.35568831485488
GOTERM_BP_DIRECT	GO:0061732~mitochondrial acetyl-CoA biosynthetic process from pyruvate	2	3.1746031746031744	0.025315798646058922	18597, 13382	59	8	18128	76.8135593220339	0.9999995732573576	0.4191282925581974	31.35568831485488
GOTERM_BP_DIRECT	GO:0009790~embryo development	3	4.761904761904762	0.026481929277412178	83945, 22003, 11946	59	79	18128	11.667882428663377	0.9999997848318579	0.42205710707444577	32.550905942612054
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	4	6.349206349206349	0.028254038102851046	16828, 110095, 27273, 18597	59	206	18128	5.966101694915254	0.9999999241125594	0.43181650032782903	34.33014309478556
GOTERM_BP_DIRECT	GO:0090181~regulation of cholesterol metabolic process	2	3.1746031746031744	0.028435648737759025	11370, 11363	59	9	18128	68.27871939736347	0.9999999318071637	0.42306800396918276	34.50999194874495
GOTERM_BP_DIRECT	GO:0060982~coronary artery morphogenesis	2	3.1746031746031744	0.028435648737759025	22339, 18186	59	9	18128	68.27871939736347	0.9999999318071637	0.42306800396918276	34.50999194874495
GOTERM_BP_DIRECT	GO:0007584~response to nutrient	3	4.761904761904762	0.029661083976487434	16828, 11364, 77559	59	84	18128	10.973365617433416	0.9999999668706405	0.42625812326870904	35.7115942314718
GOTERM_BP_DIRECT	GO:0035767~endothelial cell chemotaxis	2	3.1746031746031744	0.03154568419063211	22339, 18186	59	10	18128	61.45084745762713	0.9999999891039913	0.4361486721822727	37.51951332344089
GOTERM_BP_DIRECT	GO:0009062~fatty acid catabolic process	2	3.1746031746031744	0.03154568419063211	11370, 11363	59	10	18128	61.45084745762713	0.9999999891039913	0.4361486721822727	37.51951332344089
GOTERM_BP_DIRECT	GO:0051384~response to glucocorticoid	3	4.761904761904762	0.03504550133610703	12583, 11364, 77559	59	92	18128	10.01915991156964	0.9999999986262437	0.4611699480197681	40.75187943639109
GOTERM_BP_DIRECT	GO:0045717~negative regulation of fatty acid biosynthetic process	2	3.1746031746031744	0.03773643242871962	11370, 11363	59	12	18128	51.209039548022595	0.9999999997219053	0.4764636455652722	43.13045743132973
GOTERM_BP_DIRECT	GO:0006120~mitochondrial electron transport, NADH to ubiquinone	2	3.1746031746031744	0.040817205608452485	13382, 68197	59	13	18128	47.26988265971317	0.9999999999555789	0.4939227240210531	45.744258136228396
GOTERM_BP_DIRECT	GO:0043069~negative regulation of programmed cell death	2	3.1746031746031744	0.04388828493911853	83945, 22339	59	14	18128	43.893462469733656	0.9999999999929051	0.509878290504781	48.2380597033061
GOTERM_BP_DIRECT	GO:0050918~positive chemotaxis	2	3.1746031746031744	0.0469497003890496	22339, 18186	59	15	18128	40.96723163841808	0.9999999999988669	0.5245094388739788	50.61736508893308
GOTERM_BP_DIRECT	GO:0002042~cell migration involved in sprouting angiogenesis	2	3.1746031746031744	0.05000148183688008	22339, 18186	59	16	18128	38.40677966101695	0.999999999999819	0.5379686543271617	52.887425177806094
GOTERM_BP_DIRECT	GO:0006103~2-oxoglutarate metabolic process	2	3.1746031746031744	0.05607626178693314	67834, 13382	59	18	18128	34.13935969868174	0.9999999999999953	0.5710487034715712	57.11962131455939
GOTERM_BP_DIRECT	GO:0046716~muscle cell cellular homeostasis	2	3.1746031746031744	0.05607626178693314	12632, 18642	59	18	18128	34.13935969868174	0.9999999999999953	0.5710487034715712	57.11962131455939
GOTERM_BP_DIRECT	GO:0006810~transport	11	17.46031746031746	0.06132957180634743	66377, 13167, 22227, 16527, 11958, 20501, 11946, 73130, 68197, 67863, 19299	59	1819	18128	1.858052012187736	0.9999999999999998	0.5954820047872776	60.49104787377728
GOTERM_BP_DIRECT	GO:0060749~mammary gland alveolus development	2	3.1746031746031744	0.06211286199504063	22339, 12034	59	20	18128	30.725423728813563	0.9999999999999999	0.5912416576115778	60.972039018970136
GOTERM_BP_DIRECT	GO:0001659~temperature homeostasis	2	3.1746031746031744	0.06511691843782008	11370, 11363	59	21	18128	29.262308313155774	1.0	0.6002925132985941	62.76659184387463
GOTERM_BP_DIRECT	GO:0015986~ATP synthesis coupled proton transport	2	3.1746031746031744	0.0681115182481608	11958, 11946	59	22	18128	27.932203389830512	1.0	0.6087366163476873	64.47872145113335
GOTERM_BP_DIRECT	GO:0035924~cellular response to vascular endothelial growth factor stimulus	2	3.1746031746031744	0.0681115182481608	22339, 18186	59	22	18128	27.932203389830512	1.0	0.6087366163476873	64.47872145113335
GOTERM_BP_DIRECT	GO:0071398~cellular response to fatty acid	2	3.1746031746031744	0.07109669067354209	27273, 22227	59	23	18128	26.7177597641857	1.0	0.6166313183532512	66.1122092628515
GOTERM_BP_DIRECT	GO:0006754~ATP biosynthetic process	2	3.1746031746031744	0.07109669067354209	11958, 11946	59	23	18128	26.7177597641857	1.0	0.6166313183532512	66.1122092628515
GOTERM_BP_DIRECT	GO:0034614~cellular response to reactive oxygen species	2	3.1746031746031744	0.0740724648724996	22227, 22003	59	24	18128	25.604519774011298	1.0	0.6240271155465864	67.67066341153252
GOTERM_BP_DIRECT	GO:0048844~artery morphogenesis	2	3.1746031746031744	0.07703886992134608	22339, 18186	59	25	18128	24.580338983050847	1.0	0.6309686267999548	69.15752667558068
GOTERM_BP_DIRECT	GO:0048010~vascular endothelial growth factor receptor signaling pathway	2	3.1746031746031744	0.07703886992134608	22339, 18186	59	25	18128	24.580338983050847	1.0	0.6309686267999548	69.15752667558068
GOTERM_BP_DIRECT	GO:0002040~sprouting angiogenesis	2	3.1746031746031744	0.08881137693730738	22339, 18186	59	29	18128	21.189947399181765	1.0	0.6775782891949753	74.45255321801547
GOTERM_BP_DIRECT	GO:0045214~sarcomere organization	2	3.1746031746031744	0.09464216490968526	22003, 12632	59	31	18128	19.822854018589393	1.0	0.6941971814434296	76.74909480401276
