mouse_Entrez_ID,mouse_Gene,mouse_scBAT_mean_count,mouse_WAT_mean_count,mouse_scBATvsWAT_LR,human_Genbank_accession,human_Gene,human_scBAT_mean_FPKM,human_WAT_mean_FPKM,human_scBATvsWAT_LR
20249,Scd1,431466.6667,259200.6667,1.3952,human ortholog not found or not included in human RNA-seq dataset
14104,Fasn,287215.3333,104280.3333,2.1158,human ortholog not found or not included in human RNA-seq dataset
11429,Aco2,94832.3333,17043.3333,3.1314,human ortholog not found or not included in human RNA-seq dataset
14555,Gpd1,87405.3333,31272.6667,2.1255,human ortholog not found or not included in human RNA-seq dataset
11947,Atp5b,73278,32951.6667,1.8285,human ortholog not found or not included in human RNA-seq dataset
16956,Lpl,69374,110518.6667,-0.017727,human ortholog not found or not included in human RNA-seq dataset
107476,Acaca,65739.6667,24488,2.0663,human ortholog not found or not included in human RNA-seq dataset
12350,Car3,63870,105908.3333,-0.063154,human ortholog not found or not included in human RNA-seq dataset
11946,Atp5a1,59849,22998,2.0673,NM_001001935,ATP5A1,1.85,0.64,1.54
19194,Bpifa2,55308.6667,263.6667,8.4151,human ortholog not found or not included in human RNA-seq dataset
21881,Tkt,55204.3333,21278.6667,2.051,NM_001258028,TKT,0.99,0.43,1.2
11722,Amy1,54907.3333,8778.6667,3.2429,human ortholog not found or not included in human RNA-seq dataset
18534,Pck1,54492.3333,40092,1.0819,human ortholog not found or not included in human RNA-seq dataset
14645,Glul,53270.6667,30377,1.4532,human ortholog not found or not included in human RNA-seq dataset
66853,Pnpla2,51881.3333,40199.3333,1.0087,human ortholog not found or not included in human RNA-seq dataset
98660,Atp1a2,51820.6667,27945.3333,1.536,human ortholog not found or not included in human RNA-seq dataset
66945,Sdha,51427.3333,17336,2.2353,human ortholog not found or not included in human RNA-seq dataset
11674,Aldoa,51126.6667,21202.3333,1.9406,NM_001127617,ALDOA,2.72,0.89,1.61
104112,Acly,49664,17314.3333,2.195,human ortholog not found or not included in human RNA-seq dataset
18293,Ogdh,48681.3333,11127,2.8051,human ortholog not found or not included in human RNA-seq dataset
12974,Cs,46012.6667,13307.3333,2.4611,human ortholog not found or not included in human RNA-seq dataset
11370,Acadvl,44419,8681.3333,3.009,NM_001270448,ACADVL,1.2,0.19,2.64
100705,Acacb,43539,14623,2.1844,human ortholog not found or not included in human RNA-seq dataset
11770,Fabp4,43414.6667,46410,0.5784,human ortholog not found or not included in human RNA-seq dataset
14081,Acsl1,41999.6667,36881.3333,0.82922,human ortholog not found or not included in human RNA-seq dataset
13627,Eef1a1,41695,71533.3333,-0.03333,human ortholog not found or not included in human RNA-seq dataset
67800,Dgat2,41675.3333,28088.3333,1.223,human ortholog not found or not included in human RNA-seq dataset
12491,Cd36,39074.3333,54573.6667,0.16687,NM_001127443,CD36,147.1,23.23,2.66
12491,Cd36,39074.3333,54573.6667,0.16687,NM_001127444,CD36,9.43,3.65,1.37
11363,Acadl,37778.6667,9527.3333,2.6377,NM_001608,ACADL,3.41,1.28,1.42
97212,Hadha,37399.6667,9299,2.6732,human ortholog not found or not included in human RNA-seq dataset
18746,Pkm,36883.3333,14302.3333,2.0721,human ortholog not found or not included in human RNA-seq dataset
231086,Hadhb,35809.6667,7935.3333,2.828,human ortholog not found or not included in human RNA-seq dataset
52538,Acaa2,35610.6667,5431.3333,3.3679,human ortholog not found or not included in human RNA-seq dataset
13030,Ctsb,35472.3333,34523.3333,0.70868,human ortholog not found or not included in human RNA-seq dataset
67426,Adck3,34471.3333,3112.6667,4.1347,human ortholog not found or not included in human RNA-seq dataset
21835,Thrsp,34284.3333,16265,1.7268,human ortholog not found or not included in human RNA-seq dataset
13629,Eef2,33485.6667,52305.6667,0.10468,human ortholog not found or not included in human RNA-seq dataset
20599,Smr3a,33209.6667,181.3333,8.2292,human ortholog not found or not included in human RNA-seq dataset
